Application ID,Submission ID,Applicant Role,"Association, Cooperative, or Owner",Address Number,Street Direction,Street Name,Street Type,Number of Units,PIN,Vote Date,Recorded Date,Signed Date,Latitude,Longitude,Location
1539,PB2017A01539,authorized agent,North Town Village Condo Assoc,711,W,Blackhawk,ST,145,17-04-113-100-1042,,08/10/2017,08/10/2017,41.9071438775,-87.6466007609,"(41.90714387752031, -87.64660076091772)"
1159,PB2017A01159,"managing agent, TCC Realty LLC",,1401-1403,W,Cuyler,AVE,12,14-17-314-022-0000,,02/23/2017,02/23/2017,41.9551637955,-87.6643991923,"(41.95516379551054, -87.6643991922551)"
47,PB2016A00047,Authorized Agent,200 E Delaware Condiminium Assoc,200,E,Delaware,PL,179,17-03-214-014-1001-1191,,07/25/2016,07/26/2016,41.8993547394,-87.6217913019,"(41.89935473944382, -87.621791301926)"
27,PB2016A00027,Registered Agent,Marina Towers Condo Assoc,300,N,State,ST,896,17-09-410-014-1001-1896,,12/15/1977,07/21/2016,41.8875578728,-87.6281530647,"(41.88755787281287, -87.62815306467208)"
2539,PB2019A02539,Manager,,1048,W,Dickens,AVE,24,14-32-215-025-0000,,07/01/2019,07/01/2019,41.9200034018,-87.6553780564,"(41.92000340176244, -87.65537805636545)"
1327,PB2017A01327,Registered Agent,,843-845,W,Dakin,ST,19,14-20-207-001-0000,,04/28/2017,04/28/2017,41.9535147275,-87.6516251862,"(41.95351472750399, -87.6516251861929)"
2567,PB2019A02567,HOA President,Rosemont Hanover Condominium Association,1516-1518,W,Rosemont,AVE,7,14-05-102-031-0000,08/21/2019,08/21/2019,08/21/2019,41.9965189466,-87.6685156998,"(41.99651894658806, -87.66851569983476)"
447,PB2016A00447,Authorized Agent,400 Ohio Condominium Assoc,400,E,Ohio,ST,182,14-10-208-014-1001-1184,,,08/29/2016,41.8927543898,-87.6175603452,"(41.89275438976705, -87.61756034522637)"
2490,PB2019A02490,Community Manager,,320,W,Illinois,ST,400,17-09-243-022-0000,,03/22/2019,03/22/2019,41.8908614375,-87.6365037161,"(41.890861437494806, -87.6365037161463)"
2048,PB2017A02048,President,Margate Commons Condominium Association,924-926,W,Margate,TER,8,I4-08-412-038-1003,10/20/2017,11/13/2017,11/13/2017,41.9725544495,-87.653431017,"(41.972554449479595, -87.65343101699077)"
889,PB2017A00889,Authorized Agent,West Haven Park Homes CA,2231,W,Maypole,AVE,,17-07-321-048-1026-1034,,,08/08/2016,41.8838055698,-87.6825724209,"(41.88380556977231, -87.68257242093532)"
2813,PB2019A02813,MANAGER,,805,E,82ND,ST,17,20-35-120-001-0000,,10/02/2019,10/02/2019,41.7456901335,-87.6048431528,"(41.745690133538254, -87.60484315284852)"
1847,PB2017A01847,Owner,,2606,N,Spaulding,AVE,7,13-26-413-026-0000,,09/01/2017,09/01/2017,41.9285862162,-87.7110121063,"(41.928586216183284, -87.71101210632175)"
2219,PB2018A02219,Property Manager,,2122,W,Charleston,ST,6,14-31-126-032-0000,,04/03/2018,04/03/2018,41.9200823726,-87.6811226669,"(41.920082372560046, -87.68112266686656)"
905,PB2017A00905,Authorized Agent,Skyline Michigan Condo Assoc,1601,S,Michigan,AVE,45,17-22-302-052-1001-1045,,,11/16/2016,41.8601721455,-87.623839568,"(41.86017214551138, -87.62383956800971)"
3176,PB2021A03176,Owner,,5650,N,Sheridan,RD,161,14-05-410-017-0000,,11/03/2021,11/03/2021,41.9852421288,-87.6553891178,"(41.98524212884536, -87.65538911784056)"
3391,PB2024A03391,Property Manager,Lawndale Pointe Condominium Association,3648-3654,W,BERTEAU,AVE,19,13-14--315-041-1001,,09/25/2024,09/25/2024,41.9575103697,-87.7199215192,"(41.957510369729334, -87.7199215191527)"
651,PB2016A00651,Authorized Agent,Chelsea Townhomes,1151,W,Monroe,ST,1,17-17-210-041-0000,,,09/22/2016,41.8802270279,-87.6566716548,"(41.88022702789751, -87.6566716547793)"
3374,PB2024A03374,Property Manager,Argyle-Glenwood Condominium Association,1408,W,ARGYLE,ST,19,14-08-310-043-1001,,09/25/2024,09/25/2024,41.9727004975,-87.66506594,"(41.97270049748129, -87.66506594000627)"
463,PB2016A00463,Authorized Agent,2309-19 N Commonwealth Condominium Assoc,2309-2319,N,Commonwealth,AVE,31,14-33-201-016-1001-1031,,,08/17/2016,41.9241148371,-87.6379165982,"(41.92411483708244, -87.63791659818138)"
29,PB2016A00029,Authorized Agent,No. Ten Lofts Condominium Assoc,1040,W,Adams,ST,266,17-17-211-051-1000-1559,,05/29/2014,07/20/2016,41.8792243219,-87.6535842121,"(41.879224321915544, -87.65358421213601)"
3348,PB2024A03348,Community Association Manager,20 East Goethe Condominium Association,20,E,Goethe,ST,38,17-03-106-032-1001-1038,,01/05/2024,01/05/2024,41.9059317427,-87.6279005523,"(41.905931742659234, -87.62790055233809)"
341,PB2016A00341,Property Manager,2028 West Division Condominium Assoc,2028,W,Division,ST,8,17-06-129-056-1001-1014,,,08/03/2016,41.9032792358,-87.6784446077,"(41.90327923578899, -87.67844460770945)"
110,PB2016A00110,Authorized Agent,Lunt Gardens Condominium Assoc,2700-2710,W,Lunt,AVE,26,10-36-210-047-1001-1029,,,07/29/2016,42.0086175953,-87.6974949426,"(42.00861759533451, -87.69749494257259)"
2311,PB2018A02311,Owner,,2624,W,Iowa,ST,6,16-01-421-031-0000,,04/25/2018,04/25/2018,41.8976117983,-87.6928601336,"(41.89761179832533, -87.69286013364804)"
2014,PB2017A02014,Property Manager,Park Monroe Condominium Homes,65,E,Monroe,ST,216,17-15-103-034-1001-1398,12/29/2008,10/13/2017,10/13/2017,41.8806963264,-87.6252844009,"(41.88069632642878, -87.62528440085721)"
2494,PB2019A02494,Lavinia Shimkus,,5014-5016,N,Harding,AVE,7,13-11-305-022-0000,,03/28/2019,03/28/2019,41.9723417207,-87.7270790476,"(41.972341720737205, -87.72707904758396)"
828,PB2017A00828,Owner,Northtown Village Phase II,1331,N,Burling,ST,,17-04-113-100-1028,,,08/29/2016,41.9057903037,-87.6471774081,"(41.905790303659536, -87.64717740813605)"
224,PB2016A00224,Authorized Agent,Wrightwood Commons Condominium Assoc,626-632,W,Wrightwood,AVE,40,14-28-305-064-1001-1098,,,08/09/2016,41.9294895748,-87.6440110174,"(41.92948957482113, -87.64401101742486)"
79,PB2016A00079,Residences Director,Residences at 401 N Wabash Ave,401,N,Wabash,AVE,486,17-10-135-038-1001-2072,,,07/27/2016,41.8892840135,-87.6265485479,"(41.889284013529334, -87.62654854794113)"
3179,PB2021A03179,Owner,,4805-4811,N,Wolcott,AVE,45,14-07-418-008-0000,,11/03/2021,11/03/2021,41.9690014093,-87.6760655725,"(41.969001409303374, -87.67606557254454)"
25,PB2016A00025,Registered Agent,Newberry Plaza Condo Assoc,1030,N,State,ST,624,17-04-424-051-1001-1624,,07/20/2016,07/21/2016,41.9014634149,-87.6284813715,"(41.90146341490292, -87.62848137148605)"
2663,PB2019A02663,Manager,,1714,W,Jonquil,TER,15,11-30-215-006-0000,,10/02/2019,10/02/2019,42.0212841907,-87.673670155,"(42.02128419070553, -87.67367015497575)"
3371,PB2024A03371,Property Manager,Old Irving Place Condominium Association,3727-3741,N,MILWAUKEE,AVE,72,13-22-119-043-1001,,09/25/2024,09/25/2024,41.9486210052,-87.7392480045,"(41.94862100519419, -87.73924800452521)"
194,PB2016A00194,Authorized Agent,Lunt Ave Condo & Health Club,1327-1339,W,Lunt,AVE,38,11-32-114-034-1001,,,08/01/2016,42.0090339407,-87.6647682807,"(42.00903394067994, -87.6647682806523)"
1721,PB2017A01721,Property Manager,Commonwealth Historic Prairie Avenue HOA,1815-1853,S,Prairie,PKWY,37,17223091140000,,08/11/2017,08/11/2017,41.8573423458,-87.6201028435,"(41.85734234578733, -87.62010284351575)"
225,PB2016A00225,Authorized Agent,Palmolive Building Condominium Assoc,159,E,Walton,PL,98,17-03-213-020-0000,,12/01/2005,08/11/2016,41.8999120593,-87.6232110348,"(41.89991205926627, -87.62321103481307)"
112,PB2016A00112,Authorized Agent,Racine Park Condominium Assoc,3765,N,Racine,AVE,10,14-20-215-049-1001-1010,,,07/29/2016,41.9507018271,-87.6591104454,"(41.95070182710594, -87.65911044535669)"
138,PB2016A00138,President,840 North Lake Shore Drive Condominium Assoc,840,N,Lake Shore,DR,71,17-03-0228-029-8002,,09/11/2003,07/26/2016,41.8978312329,-87.6179061294,"(41.89783123289037, -87.61790612940916)"
1932,PB2017A01932,authorized agent,,3541,S,Federal,ST,1,17334260144003,,09/12/2017,09/12/2017,41.8296194287,-87.6287167105,"(41.8296194286537, -87.62871671048673)"
352,PB2016A00352,Authorized Agent,Museum Park Tower I Condominium Assoc,1322,S,Prairie,AVE,221,17-22-110-100-1001-1221,,,08/19/2016,41.8653555925,-87.6215410839,"(41.86535559251647, -87.62154108390382)"
1282,PB2017A01282,Registered Agent,,4905-4915,N,Glenwood,AVE,38,14-08-314-004-0000,,03/27/2017,03/27/2017,41.9719131251,-87.6645618624,"(41.97191312505912, -87.6645618624075)"
685,PB2016A00685,Owner,Historic Strand Apartments,6321,S,Cottage Grove,AVE,63,20-23-100-004-0000,,,08/29/2016,41.7797573036,-87.6057696255,"(41.77975730359677, -87.60576962549939)"
1452,PB2017A01452,PROPERTY MANAGER,,848-854,W,WAVELAND,AVE,14,14-20-223-037-0000,,07/20/2017,07/20/2017,41.9491971988,-87.6514689669,"(41.94919719880513, -87.65146896690113)"
423,PB2016A00423,Registered Agent,Wolcott Village of Ravenswood Condominium Assoc,4901-4957,N,Wolcott,AVE,147,14-07-418-017-0000,,,08/15/2016,41.970711544,-87.6761158748,"(41.97071154399883, -87.67611587479878)"
635,PB2016A00635,Authorized Agent,Chelsea Townhomes,1137 #11,W,Monroe,ST,1,17-17-210-057-0000,,,09/22/2016,41.8802352922,-87.6561414428,"(41.88023529222652, -87.6561414427707)"
2702,PB2019A02702,Manager,,2642,N,Marshfield,AVE,6,"14-30-404-037-0000, 14-30-404-069-0000",,10/02/2019,10/02/2019,41.9299576246,-87.6696758696,"(41.929957624615106, -87.66967586957445)"
684,PB2016A00684,Owner,Lawson House,30,W,Chicago,AVE,583,17-04-450-055-0000,,,08/29/2016,41.8967697344,-87.6294483545,"(41.896769734398916, -87.62944835451378)"
3199,PB2021A03199,Owner,,4550-4556,N,Wolcott,AVE,40,14-18-213-008-0000,,11/03/2021,11/03/2021,41.9648198331,-87.6762441091,"(41.96481983305656, -87.6762441091134)"
3243,PB2022A03243,President,1440 N Wood Condominium Association,1440,N,Wood,ST,6,17-06-209-049-1005,06/21/2022,07/22/2022,07/22/2022,41.9083877604,-87.6726631151,"(41.90838776036444, -87.67266311508043)"
888,PB2017A00888,Authorized Agent,West Haven Park Homes CA,2220,W,Maypole,AVE,,17-07-321-048-1018-1025,,,08/08/2016,41.8840220591,-87.6822626076,"(41.884022059081495, -87.68226260759424)"
2180,PB2018A02180,Property Manager,Midway Court Condo Assoc,6447-6451,S,Narragansett,AVE,12,19-20-112-025-0000,03/13/2018,03/22/2018,03/22/2018,41.7744511382,-87.7809889481,"(41.77445113820187, -87.7809889480977)"
33,PB2016A00033,President,McConnell Apartments Condominium Assoc,1210,N,Astor,ST,14,17-03-112-032-1001-1014,,05/29/2013,07/25/2016,41.904312395,-87.6270907203,"(41.904312395019694, -87.62709072033391)"
3141,PB2021A03141,Kalabich Management,,8228-8230,S,Commercial,AVE,22,21-31-229-012 thru 13 and 019 -0000,,03/30/2021,03/30/2021,41.7456034965,-87.551587668,"(41.74560349649462, -87.55158766804458)"
1682,PB2017A01682,Agent,South Commons Phase I Condo Assn,2921,S,Michigan,AVE,679,17-27-310-093-1001,,08/11/2017,08/11/2017,41.8413980206,-87.6231359588,"(41.841398020562835, -87.62313595878753)"
1336,PB2017A01336,President,2041-43 W Farwell Condo Assoc,2041-2043,W,Farwell,AVE,6,11-31-124-019-1001-1006,,05/05/2017,05/05/2017,42.0062951787,-87.6823271154,"(42.00629517869045, -87.68232711536862)"
1379,PB2017A01379,attorney,Columbia Place Townhomes Condo Assoc,1701-1733,W,George,ST,64,14-30-223-276-1001-1064,,06/19/2017,06/19/2017,41.9346342226,-87.6709742042,"(41.93463422259704, -87.67097420417105)"
2344,PB2018A02344,property manager,Townhomes of Vernon Park Place,1023,W,Vernon Park,PL,49,17-17-412-044-1001-1049,,07/30/2018,07/30/2018,41.8729438937,-87.6521167727,"(41.872943893690284, -87.65211677267001)"
1536,PB2017A01536,PROPERTY MANAGER,KINZIE PARK TOWNHOME ASSOCIATION,401-485,N,CLINTON,ST,82,17091120920000,08/09/2016,08/10/2017,08/10/2017,41.8895681884,-87.6406830514,"(41.88956818840165, -87.64068305138971)"
2700,PB2019A02700,Manager,,2504-2516,N,Willetts,CT,24,"13-25-315-023-0000, 13-25-315-024-0000, 13-25-315-025-0000, 13-25-315-026-0000, 13-25-315-070-0000, 13-25-315-071-1001, 13-25-315-071-1002, 13-25-315-071-1003, 13-25-315-071-1004, 13-25-315-071-1005, 13-25-315-071-1006, 13-25-315-071-1007, 13-25-315-071-1008, 13-25-315-071-1009, 13-25-315-071-1010, 13-25-315-071-1011, 13-25-315-071-1012, 13-25-315-071-1013, 13-25-315-071-1014",,10/02/2019,10/02/2019,41.9271539669,-87.702653027,"(41.92715396688608, -87.70265302696419)"
1045,PB2017A01045,property manager,4810 S. Prairie,4810,S,Prairie,AVE,6,20-10-109-035-1001-1006,12/07/2016,02/02/2017,02/02/2017,41.807140862,-87.6196791527,"(41.80714086202788, -87.6196791526969)"
2536,PB2019A02536,Property Manager,,1438-1468,S,State,ST,48,17-21-211-119,,06/26/2019,06/26/2019,41.862929275,-87.6274630208,"(41.86292927497366, -87.62746302083403)"
503,PB2016A00503,Authorized Agent,2 South Leavitt Condominium Assoc,2,S,Leavitt,ST,34,17-18-101-064-1001-1019,,,09/06/2016,41.8811796897,-87.6816772289,"(41.88117968968646, -87.68167722893423)"
517,PB2016A00517,Community Manager/Agent,Lakeside Lofts Condominium Assoc,2025-2035,S,Indiana,AVE,96,17-22-314-037-1001,,08/26/2016,09/07/2016,41.8547696561,-87.6221170901,"(41.854769656142295, -87.62211709007104)"
3129,PB2021A03129,Kalabich Management and Country Club Apartments,,6924-6950,S,South Shore,DR,178,20-24-420-018 thru 022-0000,,03/30/2021,03/30/2021,41.7691309324,-87.56667501,"(41.769130932350706, -87.5666750099999)"
1801,PB2017A01801,Owner,,4430-4444,W,Wellington,AVE,10,13-27-113-038-0000,,08/24/2017,08/24/2017,41.935404469,-87.7382101551,"(41.93540446903682, -87.73821015505482)"
785,PB2016A00785,Registered Agent,927 W Agatite Condo Assoc,927,W,Agatite,AVE,9,14-17-228-006-0000,10/06/2016,,10/25/2016,41.962592013,-87.6534391769,"(41.962592012999316, -87.65343917691149)"
1034,PB2017A01034,Property Manager,,201,N,Garland,CT,402,17-10-303-016-0000,,02/01/2017,02/01/2017,41.8857920117,-87.6251160015,"(41.88579201167943, -87.62511600145102)"
439,PB2016A00439,Authorized Agent,Beekman Place Townhome Homeowners Assoc,55,W,Goethe,ST,42,17-04-223-038-0000 thru          17-04-223-070-0000,,,08/24/2016,41.9056841742,-87.6306358183,"(41.905684174237216, -87.63063581826307)"
680,PB2016A00680,Board President,4240 N Clarendon Condo Assoc,4240,N,Clarendon,AVE,100,14-17-410-028-1001-1100,,,09/13/2016,41.9596909688,-87.6499987677,"(41.95969096884814, -87.64999876769507)"
1685,PB2017A01685,Agent,South Commons Phase I Condo Assn,3021,S,Michigan,AVE,679,17-27-310-093-1679,,08/11/2017,08/11/2017,41.8388973692,-87.6231070412,"(41.83889736923833, -87.62310704115612)"
1332,PB2017A01332,President,Arcadia Place Townhomes,16-26,S,Aberdeen,ST,34,17-17-201-012-0000 thru 17-17-201-045-0000,01/13/0017,04/28/2017,04/28/2017,41.8811696563,-87.6548327862,"(41.88116965631025, -87.65483278617715)"
927,PB2017A00927,Authorized Agent,4310-4322 N Clarendon Condo Assoc,4310-4322,N,Clarendon,AVE,45,14-17-407-055-1001-1045,11/28/2016,,12/13/2016,41.9606870205,-87.6500269271,"(41.960687020516204, -87.6500269271258)"
2576,PB2019A02576,property manager,4720-26 South Greenwood Condominium Association,4720-4726,S,Greenwood,AVE,21,20-11-103-031-1000,09/21/2001,09/18/2019,09/18/2019,41.808958836,-87.5994003643,"(41.808958836013815, -87.59940036433156)"
1962,PB2017A01962,property manager,Cloister of Wicker Park Condo Assoc,2108-2118,W,North,AVE,38,14-31-331-028-0000,04/20/0014,09/20/2017,09/20/2017,41.9105410853,-87.6804010846,"(41.91054108528171, -87.6804010845931)"
2607,PB2019A02607,Manager,,1101,W,Monroe,ST,3,17-17-210-004-0000,,09/30/2019,09/30/2019,41.8802562392,-87.6547784111,"(41.88025623921977, -87.6547784110811)"
1123,PB2017A01123,authorized agent,Eugenie Terrace Townhouses Condo Assoc,150,W,Eugenie,ST,72,14-33-414-062-1001-1072,,02/16/2017,02/16/2017,41.9130118554,-87.6337244205,"(41.91301185543802, -87.63372442054956)"
184,PB2016A00184,Authorized Agent,600 North Lake Shore Drive Condominium Assoc,600,N,Lake Shore,DR,400,17-10-208-009-0000,,,08/09/2016,41.8927482092,-87.614686796,"(41.8927482092378, -87.6146867960138)"
2181,PB2018A02181,Owner,,10,W,Elm,ST,141,17-04-407-015-0000,,03/22/2018,03/22/2018,41.9032803883,-87.6290427529,"(41.90328038833401, -87.62904275288018)"
707,PB2016A00707,Registered Agent,721 West Belmont LLC,721,W,Belmont,AVE,84,14-28-100-011-0000,10/05/2016,,10/06/2016,41.9398944234,-87.6477083978,"(41.939894423424015, -87.64770839776645)"
675,PB2016A00675,Authorized Agent,339 W Barry Homeowners Assoc,337-339,W,Barry,AVE,68,14-28-202-016-1001-1068,,,08/19/2016,41.9376292693,-87.6383772904,"(41.93762926928939, -87.63837729041514)"
54,PB2016A00054,Authorized Agent,Fordham Condominium Assoc,25,E,Superior,ST,229,17-10-103-027-1001-1415,,,07/18/2016,41.8955850981,-87.6270635345,"(41.89558509805822, -87.6270635345156)"
1879,PB2017A01879,authorized agent,,1357,S,Clark,ST,1,17-21-211-183-0000,,09/11/2017,09/11/2017,41.8642074868,-87.630170753,"(41.86420748676076, -87.6301707529583)"
3174,PB2021A03174,Owner,,4600,N,Clarendon,AVE,165,14-17-215-024-0000,,11/03/2021,11/03/2021,41.9655342462,-87.6501671687,"(41.96553424615273, -87.65016716868293)"
1674,PB2017A01674,Property Manager,,763,E,41st,ST,12,20032110581001,,08/11/2017,08/11/2017,41.8202695064,-87.6070134613,"(41.82026950643222, -87.60701346131751)"
1470,PB2017A01470,PROPERTY MANAGER,,3800,N,GREENVIEW,AVE,8,14-20-105-041-0000,,07/20/2017,07/20/2017,41.9507511444,-87.6675540232,"(41.950751144397564, -87.66755402316493)"
1135,PB2017A01135,authorized agent,Glen Lake No. 1 Condo Assoc,6400,W,Berteau,AVE,52,13-18-409-069-1001-1052,01/23/2017,02/23/2017,02/23/2017,41.9566760344,-87.7867485168,"(41.95667603444897, -87.78674851680172)"
402,PB2016A00402,Authorized Agent,1130 Armitage Condominium Assoc,1130-1132,W,Armitage,AVE,8,14-32-222-048-1001-1008,,08/21/2016,08/23/2016,41.9181678141,-87.6566804707,"(41.918167814059544, -87.65668047065112)"
1870,PB2017A01870,authorized agent,,1345,S,Clark,ST,1,17-21-211-188-0000,,09/11/2017,09/11/2017,41.8644972207,-87.6301791248,"(41.864497220673535, -87.63017912478607)"
527,PB2016A00527,Authorized Agent,Sunnycourt Condominium Assoc,906-934,W,Sunnyside,AVE,62,14-17-222-021-0000,,,09/13/2016,41.963743151,-87.6527113967,"(41.96374315102293, -87.65271139670823)"
1654,PB2017A01654,Manager,"LeBreton & Sons, LLC.",3149,N,Lawndale,AVE,8,13-26-106-001-0000,,08/11/2017,08/11/2017,41.9388145074,-87.7195314141,"(41.93881450744268, -87.71953141411095)"
737,PB2016A00737,Owner,Sun Steps LLC 1471 N Milwaukee,1471,N,Milwaukee,ST,4,17-06-209-015-0000,,,10/11/2016,41.9087260938,-87.6746608394,"(41.90872609383611, -87.67466083943248)"
1095,PB2017A01095,President,University Station Condo Assoc,1550,S,Blue Island,AVE,230,"17-20-128-027-0000, 17-20-128-028-1001, 17-20-128-028-1399",,02/07/2017,02/07/2017,41.8603101805,-87.6592478218,"(41.860310180474436, -87.65924782181983)"
1429,PB2017A01429,Property Manager,,959,W,Webster,AVE,21,14-32-217-001-0000,,07/18/2017,07/18/2017,41.9216297091,-87.6534239735,"(41.92162970911281, -87.65342397353342)"
108,PB2016A00108,Authorized Agent,5901 N Artesian Condominium Assoc,5901-5909,N,Artesian,AVE,15,13-01-407-017-1001-1030,,,07/29/2016,41.9887202739,-87.6906829288,"(41.98872027387194, -87.69068292883043)"
2652,PB2019A02652,Manager,,3544,W,Belden,AVE,10,13-35-203-027-0000,,10/01/2019,10/01/2019,41.9228997976,-87.7155527026,"(41.9228997976157, -87.71555270260525)"
2808,PB2019A02808,Manager,,7014,W,Medill,AVE,8,13-31-102-025-1007,,10/02/2019,10/02/2019,41.9224432161,-87.8013710298,"(41.922443216095914, -87.80137102977667)"
2395,PB2018A02395,Chief Financial Officer,,3157-3159,N,Seminary,AVE,24,14-21-202-039-0000,,10/12/2018,10/12/2018,41.9397286894,-87.6563849208,"(41.939728689443484, -87.65638492084737)"
2045,PB2017A02045,authorized agent,219-225 W. Wisconsin Condo Assoc,223,W,Wisconsin,ST,12,14-33-409-025-1001-1012,,11/09/2017,11/09/2017,41.9164454122,-87.6360642674,"(41.91644541220946, -87.63606426742312)"
705,PB2016A00705,Registered Agent,Wrightwood II LLC,443,W,Wrightwood,AVE,176,14-28-318-057-0000,10/05/2016,,10/06/2016,41.9307453594,-87.6408401066,"(41.930745359430404, -87.64084010657474)"
164,PB2016A00164,Authorized Agent,Hawthorne Point Condominium Assoc,1511-1525,W,Cullom,AVE,31,14-17-303-036-1001-1038,,,08/03/2016,41.9596710379,-87.6681886696,"(41.95967103788722, -87.66818866964154)"
921,PB2017A00921,Board President,540 North Lake Shore Drive Condo Assoc,540,N,Lake Shore,DR,149,17-10-211-023-0000,,,09/21/2016,41.8923492672,-87.6145571703,"(41.892349267241, -87.61455717025085)"
789,PB2016A00789,Authorized Agent,Oz Park Gardens Condo Assoc,2045,N,Larrabee,ST,24,14-33-121-080-1049-1072,08/03/2016,,10/25/2015,41.9195885708,-87.6435649827,"(41.919588570830975, -87.64356498270541)"
769,PB2016A00769,Registered Agent,Williamsburg Condo Assoc,6531-6535,N,Northwest,HWY,18,09-36-419-107-0000,,,10/18/2016,41.9995752345,-87.8108430053,"(41.99957523446542, -87.8108430053461)"
2087,PB2017A02087,"Jeff Joel, Assistant Vice President, Property Manager",Amhurst Lofts Condominium Association,2600,N,Southport,AVE,65,14-29-302-200-0000,,12/04/2017,12/04/2017,41.9288910926,-87.6635922226,"(41.928891092633826, -87.66359222259915)"
3204,PB2021A03204,Board President,1542 West George Street Condominium Association,1542,W,George,ST,2,14-29-120-050-0000,10/14/2021,12/03/2021,12/03/2021,41.9343461157,-87.6677448248,"(41.93434611566297, -87.66774482479983)"
1931,PB2017A01931,authorized agent,,3531,S,Dearborn,ST,1,17334260144023,,09/12/2017,09/12/2017,41.8298230327,-87.627384921,"(41.82982303270347, -87.62738492098981)"
1180,PB2017A01180,Vice President,,444,W,Oakdale,AVE,70,14-28-118-005-0000,,03/03/2017,03/03/2017,41.9356822195,-87.6411790285,"(41.93568221949671, -87.64117902849902)"
951,PB2017A00951,Property Manager,Altgeld West,2501-2503,N,Washtenaw,AVE,16,13-25-418-030-1001-1016,12/14/2016,,01/04/2017,41.9267333167,-87.6948893857,"(41.92673331670931, -87.6948893857488)"
1728,PB2017A01728,Property Manager,,2000,N,Mohawk,ST,9,14-33-129-034-0000,,08/14/2017,08/14/2017,41.9183578586,-87.6426054855,"(41.91835785857274, -87.64260548548421)"
1067,PB2017A01067,Registered Agent,,5417-5423,S,Harper,AVE,58,20-11-426-006-0000,,02/02/2017,02/02/2017,41.7975446462,-87.5889033626,"(41.79754464615415, -87.58890336260724)"
1573,PB2017A01573,PRESIDENT,GARIBALDI SQUARE HOMEOWNER'S ASSOCIATION,1407-1529,W,HARRISON,ST,999,17173000700000,12/10/0016,08/10/2017,08/10/2017,41.8740868275,-87.6621351484,"(41.874086827459045, -87.66213514843398)"
172,PB2016A00172,Authorized Agent,Barry Condominium Inc.,3100,N,Sheridan,RD,65,14-28-105-072-1001-1065,,,07/28/2016,41.9377792062,-87.6396166104,"(41.93777920619299, -87.63961661041957)"
581,PB2016A00581,Authorized Agent,Faulkner House Condominium Assoc,70,W,Burton,PL,224,17-04-208-031-1001-1225,,08/22/2016,09/28/2016,41.9095444071,-87.6315354398,"(41.909544407148665, -87.63153543980728)"
652,PB2016A00652,Authorized Agent,Chelsea Townhomes,1153,W,Monroe,ST,1,17-17-210-040-0000,,,09/22/2016,41.8802258471,-87.6567473993,"(41.88022584707916, -87.65674739934344)"
1632,PB2017A01632,President,The 623-625 West Stratford Condos,623-625,W,Stratford,PL,7,14-21-306-405-1001,,08/10/2017,08/10/2017,41.944891296,-87.6452388879,"(41.94489129601417, -87.64523888792426)"
656,PB2016A00656,Authorized Agent,Chelsea Townhomes,107,S,Racine,AVE,1,17-17-210-036-0000,,,09/22/2016,41.8800877024,-87.6569451868,"(41.88008770236713, -87.65694518678981)"
268,PB2016A00268,President,Winston Tower #1 Condominium Assoc,6933,N,Kedzie,AVE,195,10-36-119-003-1001-1195,,,07/29/2016,42.0073774508,-87.7091256198,"(42.007377450751775, -87.70912561976539)"
2822,PB2019A02822,Manager,,1801-1809,E,71st,PL,12,20-25-106-001-0000,,10/02/2019,10/02/2019,41.7650869313,-87.5811327371,"(41.765086931276834, -87.58113273713634)"
1596,PB2017A01596,AUTHORIZED AGENT,LAKESHORE POINTE CA,2356,E,71ST,ST,63,20244300111114,,08/10/2017,08/10/2017,41.7664348419,-87.5667285266,"(41.76643484190554, -87.5667285266227)"
1850,PB2017A01850,Owner,,2748,N,Lincoln,AVE,2,14-29-401-027-0000,,09/01/2017,09/01/2017,41.9316632093,-87.6576694901,"(41.93166320927571, -87.65766949014623)"
476,PB2016A00476,Authorized Agent,550 W Fulton Condominium Assoc,550,W,Fulton,ST,40,17-09-303-088-1001-1080,,,09/01/2016,41.8869243911,-87.6418503272,"(41.8869243910864, -87.64185032721277)"
704,PB2016A00704,Registered Agent,Sedgwick I LLC,2051,N,Sedgwick,ST,27,14-33-207-003-0000,10/05/2016,,10/06/2016,41.9198284212,-87.6387168338,"(41.91982842123586, -87.63871683379128)"
2537,PB2019A02537,Manager,,957,W,Armitage,AVE,11,14-32-407-001-0000,,07/01/2019,07/01/2019,41.9179975675,-87.653219377,"(41.91799756750801, -87.65321937695829)"
393,PB2016A00393,Treasurer,1464 S Michigan Condominium Assoc,1464,S,Michigan,AVE,214,17-22-107-037-0000                      17-22-107-038-0000,,08/09/2016,08/26/2016,41.862309554,-87.6241824553,"(41.862309553955996, -87.62418245527702)"
1569,PB2017A01569,authorized agent,North Town Village Condo Assoc,1341-1345,N,Burling,ST,145,17-04-113-100-1089-1091,,08/10/2017,08/10/2017,41.9060122356,-87.6471832198,"(41.90601223559319, -87.64718321977244)"
863,PB2017A00863,Owner,Lawndale Apartments,1259,S,Central Park,AVE,,16-23-202-020-0000,,,08/29/2016,41.8645702131,-87.715222317,"(41.86457021313926, -87.71522231701115)"
308,PB2016A00308,Property Manager,Ridgewood II Condominium Assoc,6129-6143,N,Hoyne,AVE,26,14-06-119-010-1001-1026,,,08/03/2016,41.9927460106,-87.6821984989,"(41.99274601062631, -87.68219849894002)"
